Bank,Id,Total Assets,Total Deposits,Number of Employees,Net Income,Total Liabilities,Total Equity Capital,Derivatives,Return on Assets,Return on Equity
Red River Bank,387,"$3,029,893,000","$2,740,957,000",354,"$9,745,000","$2,763,473,000","$266,420,000","$36,123,000",1%,15%
First Community Bank,388,"$3,027,324,000","$2,603,348,000",604,"$11,683,000","$2,643,500,000","$383,824,000","$6,035,000",2%,27%
Orrstown Bank,389,"$3,010,932,000","$2,529,788,000",414,"$10,146,000","$2,750,416,000","$260,516,000","$407,051,000",1%,16%
River Bank & Trust,390,"$2,988,763,000","$2,665,639,000",328,"$5,570,000","$2,791,616,000","$197,147,000","$36,853,000",1%,12%
Colony Bank,391,"$2,987,751,000","$2,555,045,000",496,"$5,502,000","$2,730,055,000","$257,696,000",$0,1%,9%
STAR Financial Bank,392,"$2,965,998,000","$2,548,947,000",450,"$6,696,000","$2,767,391,000","$198,607,000","$6,856,000",1%,14%
First Western Trust Bank,393,"$2,964,725,000","$2,417,758,000",343,"$4,396,000","$2,701,893,000","$262,832,000","$185,231,000",1%,7%
Lone Star National Bank,394,"$2,951,797,000","$2,664,712,000",668,"$11,842,000","$2,682,686,000","$269,111,000",$0,2%,19%
BayCoast Bank,395,"$2,919,917,000","$2,589,445,000",561,"$1,514,000","$2,698,055,000","$221,862,000","$249,384,000",0%,3%
Industrial and Commercial Bank of China USA,396,"$2,905,600,000","$2,065,008,000",283,"$8,600,000","$2,467,895,000","$437,705,000",$0,1%,8%
Banterra Bank,397,"$2,897,909,000","$2,586,329,000",424,"$2,994,000","$2,721,502,000","$176,407,000","$6,124,000",0%,7%
TIB,398,"$2,882,750,000","$2,161,824,000",243,"$8,145,000","$2,557,504,000","$325,246,000","$363,078,000",1%,10%
Cache Valley Bank,399,"$2,867,585,000","$2,551,309,000",304,"$15,000,000","$2,586,224,000","$281,361,000","$36,066,000",2%,22%
Northeast Bank,400,"$2,866,479,000","$2,150,204,000",179,"$12,517,000","$2,582,610,000","$283,869,000",$0,2%,25%
Lake Ridge Bank,401,"$2,866,034,000","$2,328,151,000",364,"$3,741,000","$2,572,122,000","$293,912,000","$16,659,000",1%,5%
The National Bank of Indianapolis,402,"$2,858,855,000","$2,576,581,000",325,"$9,398,000","$2,678,161,000","$180,694,000","$34,000,000",1%,21%
Minnwest Bank,403,"$2,855,805,000","$2,513,659,000",383,"$5,673,000","$2,601,583,000","$254,222,000","$251,347,000",1%,9%
Texas Regional Bank,404,"$2,832,441,000","$2,469,043,000",448,"$-1,678,000","$2,641,264,000","$191,177,000",$0,0%,-4%
Northern Bank & Trust Company,405,"$2,828,928,000","$2,262,021,000",241,"$18,174,000","$2,412,029,000","$416,899,000",$0,3%,18%
The Bank of Missouri,406,"$2,814,976,000","$2,273,276,000",555,"$5,054,000","$2,491,013,000","$323,963,000","$92,985,000",1%,6%
First Farmers Bank & Trust Co.,407,"$2,805,884,000","$2,482,049,000",370,"$11,495,000","$2,557,632,000","$248,252,000","$423,733,000",2%,19%
Jefferson Bank,408,"$2,805,490,000","$2,598,530,000",383,"$7,357,000","$2,651,024,000","$154,466,000","$4,363,000",1%,19%
Manasquan Bank,409,"$2,788,802,000","$2,516,421,000",236,"$5,417,000","$2,545,327,000","$243,475,000",$0,1%,9%
1st Security Bank of Washington,410,"$2,782,772,000","$2,463,230,000",586,"$8,623,000","$2,499,157,000","$283,615,000","$257,831,000",1%,12%
First Dakota National Bank,411,"$2,777,017,000","$2,539,934,000",347,"$7,317,000","$2,553,920,000","$223,097,000","$37,113,000",1%,13%
American Momentum Bank,412,"$2,768,572,000","$2,265,361,000",332,"$14,556,000","$2,313,218,000","$455,354,000",$0,2%,13%
WestStar Bank,413,"$2,762,158,000","$2,463,035,000",339,"$12,493,000","$2,515,712,000","$246,446,000",$0,2%,21%
Home Federal Bank of Tennessee,414,"$2,761,024,000","$2,188,643,000",369,"$1,939,000","$2,315,000,000","$446,024,000",$0,0%,2%
"North American Savings Bank, F.S.B.",415,"$2,759,494,000","$1,755,300,000",291,"$2,234,000","$2,369,132,000","$390,362,000","$41,241,000",0%,2%
"Austin Bank, Texas",416,"$2,752,723,000","$2,321,805,000",505,"$9,620,000","$2,409,657,000","$343,066,000","$239,000",1%,11%
Investar Bank,417,"$2,749,080,000","$2,149,051,000",332,"$4,597,000","$2,482,377,000","$266,703,000",$0,1%,7%
Penn Community Bank,418,"$2,746,366,000","$2,099,693,000",306,"$4,616,000","$2,480,582,000","$265,784,000","$165,000,000",1%,7%
First PREMIER Bank,419,"$2,741,098,000","$2,288,324,000",380,"$11,642,000","$2,391,675,000","$349,423,000","$13,842,000",2%,14%
Mascoma Bank,420,"$2,733,301,000","$2,369,188,000",379,"$3,030,000","$2,523,246,000","$210,055,000","$36,774,000",0%,6%
The Bank of Greene County,421,"$2,725,079,000","$2,489,904,000",204,"$8,231,000","$2,516,341,000","$208,738,000",$0,1%,16%
Stearns Bank,422,"$2,721,777,000","$2,101,375,000",446,"$11,868,000","$2,164,738,000","$557,039,000",$0,2%,9%
First Fidelity Bank,423,"$2,720,298,000","$2,304,421,000",335,"$5,318,000","$2,547,408,000","$172,890,000","$77,312,000",2%,28%
Republic Bank of Chicago,424,"$2,716,377,000","$2,303,886,000",283,"$8,032,000","$2,443,768,000","$272,609,000",$0,1%,12%
National Exchange Bank and Trust,425,"$2,689,368,000","$2,165,891,000",362,"$10,234,000","$2,278,522,000","$410,846,000","$379,000",2%,10%
Texas Exchange Bank,426,"$2,666,616,000","$2,298,124,000",25,"$27,567,000","$2,359,485,000","$307,131,000","$1,704,626,000",4%,38%
"El Dorado Savings Bank, F.S.B.",427,"$2,666,311,000","$2,370,102,000",256,"$5,872,000","$2,384,277,000","$282,034,000",$0,1%,8%
BankFirst Financial Services,428,"$2,666,230,000","$2,327,976,000",465,"$7,942,000","$2,349,694,000","$316,536,000",$0,1%,11%
Chemung Canal Trust Company,429,"$2,649,923,000","$2,336,601,000",334,"$6,875,000","$2,481,939,000","$167,984,000","$545,126,000",1%,17%
Macatawa Bank,430,"$2,637,086,000","$2,339,056,000",318,"$12,215,000","$2,384,997,000","$252,089,000","$118,446,000",2%,20%
Amboy Bank,431,"$2,633,528,000","$2,199,667,000",215,"$18,614,000","$2,324,708,000","$308,820,000",$0,3%,24%
Midwest BankCentre,432,"$2,631,848,000","$2,206,727,000",273,"$6,668,000","$2,358,265,000","$273,583,000","$153,333,000",1%,10%
New Mexico Bank & Trust,433,"$2,627,019,000","$2,356,806,000",141,"$10,170,000","$2,450,763,000","$176,256,000","$133,576,000",2%,24%
Village Bank and Trust,434,"$2,619,420,000","$2,193,099,000",100,"$14,952,000","$2,340,044,000","$279,376,000","$628,515,000",2%,22%
First Federal Savings and Loan Association of Lakewood,435,"$2,590,729,000","$1,885,430,000",413,"$2,480,000","$2,374,506,000","$216,223,000","$601,633,000",0%,5%
Sunwest Bank,436,"$2,590,064,000","$2,130,033,000",253,"$8,265,000","$2,359,633,000","$230,431,000","$251,812,000",1%,15%
Avidia Bank,437,"$2,579,152,000","$1,937,015,000",264,"$3,872,000","$2,391,415,000","$187,737,000","$135,281,000",1%,8%
SouthEast Bank,438,"$2,577,874,000","$2,326,757,000",266,"$8,089,000","$2,361,622,000","$216,252,000","$185,373,000",1%,15%
Farmers Bank & Trust Company,439,"$2,570,867,000","$2,353,268,000",380,"$5,715,000","$2,379,031,000","$191,836,000","$8,597,000",1%,12%
Banco do Brasil Americas,440,"$2,567,622,000","$2,342,209,000",227,"$10,496,000","$2,378,735,000","$188,887,000",$0,2%,26%
Northrim Bank,441,"$2,564,795,000","$2,325,045,000",483,"$5,449,000","$2,373,844,000","$190,951,000","$305,954,000",1%,12%
Westfield Bank,442,"$2,558,421,000","$2,159,071,000",312,"$6,110,000","$2,319,534,000","$238,887,000","$75,010,000",1%,10%
North Shore Bank,443,"$2,558,241,000","$2,064,783,000",427,"$5,820,000","$2,241,265,000","$316,976,000",$0,1%,7%
UniBank for Savings,444,"$2,551,976,000","$2,212,009,000",257,"$5,299,000","$2,389,972,000","$162,004,000","$151,752,000",1%,14%
BankNewport,445,"$2,541,607,000","$2,114,085,000",307,"$-408,000","$2,302,137,000","$239,470,000","$145,544,000",0%,-1%
Quad City Bank and Trust Company,446,"$2,540,959,000","$2,173,343,000",244,"$7,038,000","$2,293,751,000","$247,208,000","$471,360,000",1%,12%
Bank of Utah,447,"$2,537,075,000","$2,002,989,000",341,"$10,914,000","$2,191,394,000","$345,681,000","$40,700,000",2%,13%
United Business Bank,448,"$2,532,519,000","$2,137,177,000",366,"$8,541,000","$2,170,139,000","$362,380,000",$0,1%,9%
Ponce Bank,449,"$2,527,056,000","$1,378,381,000",251,"$1,147,000","$2,084,327,000","$442,729,000",$0,0%,1%
Academy Bank,450,"$2,521,553,000","$2,056,455,000",477,"$6,779,000","$2,135,987,000","$385,566,000","$16,141,000",1%,7%
Bank of Guam,451,"$2,521,009,000","$2,318,412,000",491,"$6,451,000","$2,364,343,000","$156,666,000",$0,1%,17%
Merchants Bank,452,"$2,515,629,000","$2,184,946,000",400,"$8,020,000","$2,226,531,000","$289,098,000","$22,373,000",1%,12%
Old Plank Trail Community Bank,453,"$2,503,808,000","$2,213,676,000",145,"$4,444,000","$2,304,820,000","$198,988,000","$451,709,000",1%,9%
PCB Bank,454,"$2,500,459,000","$2,148,747,000",276,"$10,469,000","$2,170,776,000","$329,683,000",$0,2%,13%
American First National Bank,455,"$2,498,010,000","$2,175,205,000",247,"$13,922,000","$2,199,283,000","$298,727,000",$0,2%,19%
"CB&S Bank, Inc.",456,"$2,487,639,000","$2,186,527,000",547,"$6,152,000","$2,371,996,000","$115,643,000","$121,886,000",1%,25%
Armstrong Bank,457,"$2,483,136,000","$2,312,316,000",434,"$3,981,000","$2,326,145,000","$156,991,000","$3,776,000",1%,10%
Bank Independent,458,"$2,482,903,000","$2,064,946,000",625,"$6,201,000","$2,283,434,000","$199,469,000","$29,287,000",1%,13%
Unity Bank,459,"$2,464,640,000","$1,824,639,000",227,"$10,303,000","$2,225,565,000","$239,075,000","$20,000,000",2%,17%
Central Valley Community Bank,460,"$2,463,744,000","$2,176,582,000",247,"$7,786,000","$2,213,683,000","$250,061,000",$0,1%,13%
Lakeside Bank,461,"$2,446,034,000","$1,940,568,000",186,"$8,843,000","$2,200,366,000","$245,668,000","$39,065,000",2%,15%
Orange Bank & Trust Company,462,"$2,445,221,000","$2,030,036,000",200,"$3,496,000","$2,288,877,000","$156,344,000",$0,1%,9%
The Fidelity Deposit and Discount Bank,463,"$2,443,110,000","$2,144,177,000",291,"$7,646,000","$2,268,008,000","$175,102,000","$3,941,000",1%,18%
KS StateBank,464,"$2,437,059,000","$2,076,150,000",194,"$8,005,000","$2,154,022,000","$283,037,000",$0,1%,11%
Bank of New Hampshire,465,"$2,429,028,000","$2,050,411,000",293,"$6,037,000","$2,180,264,000","$248,764,000","$20,589,000",1%,10%
Bravera Bank,466,"$2,428,505,000","$2,211,842,000",404,"$5,185,000","$2,234,571,000","$193,934,000","$10,653,000",1%,11%
Community Bank of the Chesapeake,467,"$2,426,708,000","$2,156,731,000",199,"$8,207,000","$2,198,740,000","$227,968,000",$0,1%,15%
Citizens and Farmers Bank,468,"$2,420,139,000","$2,016,711,000",606,"$7,050,000","$2,193,100,000","$227,039,000","$335,200,000",1%,13%
Citizens & Northern Bank,469,"$2,414,510,000","$1,934,686,000",413,"$6,610,000","$2,152,884,000","$261,626,000","$172,049,000",1%,10%
"Sterling Bank and Trust, FSB",470,"$2,410,201,000","$1,941,499,000",262,"$226,000","$2,020,151,000","$390,050,000",$0,0%,0%
"Horizon Bank, SSB",471,"$2,408,911,000","$2,088,395,000",191,"$8,792,000","$2,231,673,000","$177,238,000",$0,1%,20%
ChoiceOne Bank,472,"$2,406,337,000","$2,114,640,000",376,"$6,001,000","$2,214,826,000","$191,511,000","$400,950,000",1%,13%
Southern Bancorp Bank,473,"$2,404,042,000","$2,034,721,000",441,"$5,640,000","$2,079,395,000","$324,647,000",$0,1%,7%
Celtic Bank,474,"$2,392,860,000","$1,656,252,000",307,"$29,104,000","$1,937,470,000","$455,390,000",$0,5%,26%
ACNB Bank,475,"$2,391,538,000","$2,076,877,000",350,"$9,303,000","$2,155,129,000","$236,409,000",$0,2%,16%
Machias Savings Bank,476,"$2,391,401,000","$1,997,122,000",312,"$3,557,000","$2,160,275,000","$231,126,000","$25,000,000",1%,6%
Emprise Bank,477,"$2,388,828,000","$2,168,808,000",437,"$8,962,000","$2,228,645,000","$160,183,000",$0,2%,23%
Libertyville Bank & Trust Company,478,"$2,387,203,000","$1,940,917,000",88,"$10,767,000","$2,161,535,000","$225,668,000","$776,440,000",2%,20%
American Bank,479,"$2,378,222,000","$2,145,576,000",372,"$9,030,000","$2,174,051,000","$204,171,000","$123,140,000",2%,28%
First National Bank,480,"$2,377,266,000","$2,011,478,000",313,"$7,517,000","$2,121,851,000","$363,926,000","$1,254,000",2%,54%
Bryant Bank,481,"$2,374,879,000","$1,948,349,000",282,"$11,873,000","$2,154,527,000","$220,352,000","$48,956,000",2%,22%
John Marshall Bank,482,"$2,348,347,000","$2,091,346,000",142,"$6,698,000","$2,105,980,000","$242,367,000","$39,733,000",1%,11%
Interaudi Bank,483,"$2,344,681,000","$2,040,485,000",131,"$8,706,000","$2,141,171,000","$203,510,000","$945,000",1%,17%
FVCbank,484,"$2,343,251,000","$1,911,290,000",134,"$1,175,000","$2,127,250,000","$216,001,000","$432,452,000",0%,2%
First Citizens Community Bank,485,"$2,332,127,000","$1,814,248,000",312,"$7,431,000","$2,117,999,000","$214,128,000","$256,699,000",1%,14%
United Bank of Iowa,486,"$2,316,503,000","$1,833,949,000",295,"$6,675,000","$2,145,374,000","$171,129,000","$3,481,000",1%,16%
First Citizens National Bank,487,"$2,315,923,000","$2,027,760,000",307,"$5,970,000","$2,136,700,000","$179,223,000",$0,1%,14%
"Bank of Southern California, N.A.",488,"$2,294,392,000","$1,988,719,000",206,"$8,482,000","$2,012,304,000","$282,088,000",$0,1%,12%
USAA Savings Bank,489,"$2,279,704,000","$151,552,000",6,"$78,517,000","$1,582,023,000","$697,681,000",$0,14%,47%
State Bank of Southern Utah,490,"$2,271,886,000","$1,942,585,000",271,"$5,347,000","$2,086,684,000","$185,202,000",$0,1%,12%
WebBank,491,"$2,262,732,000","$1,854,231,000",229,"$19,688,000","$1,955,842,000","$306,890,000","$28,346,000",4%,26%
Tradition Capital Bank,492,"$2,261,357,000","$1,507,739,000",138,"$1,250,000","$2,092,537,000","$168,820,000","$350,000,000",0%,3%
Habib American Bank,493,"$2,257,455,000","$1,898,269,000",169,"$5,572,000","$2,037,180,000","$220,275,000",$0,1%,10%
Cedar Rapids Bank and Trust Company,494,"$2,241,131,000","$1,663,138,000",180,"$16,401,000","$1,943,724,000","$297,407,000","$5,464,520,000",3%,23%
First Carolina Bank,495,"$2,235,118,000","$1,781,732,000",116,"$6,005,000","$1,929,137,000","$305,981,000",$0,1%,8%
First Savings Bank,496,"$2,235,074,000","$1,557,191,000",397,"$4,493,000","$2,033,601,000","$206,287,000","$185,624,000",1%,9%
St. Charles Bank & Trust Company,497,"$2,231,213,000","$1,846,619,000",87,"$6,346,000","$1,997,334,000","$233,879,000","$317,064,000",1%,11%
Meridian Bank,498,"$2,229,720,000","$1,775,010,000",357,"$4,445,000","$2,041,766,000","$187,954,000","$109,293,000",1%,9%
The First National Bank of Fort Smith,499,"$2,221,997,000","$1,893,333,000",378,"$8,231,000","$1,975,796,000","$246,201,000","$59,610,000",1%,14%
West Texas National Bank,500,"$2,221,228,000","$2,024,336,000",168,"$9,136,000","$2,049,383,000","$171,845,000",$0,2%,22%
Territorial Savings Bank,501,"$2,212,990,000","$1,698,547,000",255,"$2,469,000","$1,984,882,000","$228,108,000",$0,0%,4%
Centreville Bank,502,"$2,204,411,000","$1,668,331,000",228,"$1,706,000","$1,868,464,000","$335,947,000","$170,540,000",0%,2%
Commercial Bank of California,503,"$2,198,157,000","$1,820,060,000",219,"$2,881,000","$2,043,425,000","$154,732,000",$0,1%,8%
"PeoplesBank, a Codorus Valley Company",504,"$2,195,748,000","$1,895,700,000",332,"$7,570,000","$1,974,198,000","$221,550,000","$15,864,000",1%,14%
Capital Bank,505,"$2,191,588,000","$1,945,757,000",277,"$9,295,000","$1,998,996,000","$192,592,000",$0,2%,20%
"Traditional Bank, Inc.",506,"$2,190,086,000","$1,923,426,000",265,"$7,043,000","$2,028,049,000","$162,037,000",$0,1%,19%
Dedham Institution for Savings,507,"$2,176,731,000","$1,711,406,000",215,"$3,977,000","$1,946,145,000","$230,586,000","$680,000",1%,7%
Extraco Banks,508,"$2,170,581,000","$1,795,992,000",316,"$5,417,000","$1,990,493,000","$180,088,000","$219,663,000",1%,12%
Open Bank,509,"$2,170,170,000","$1,908,666,000",222,"$7,701,000","$1,990,632,000","$179,538,000",$0,1%,17%
Beverly Bank & Trust Company,510,"$2,168,367,000","$1,863,038,000",179,"$8,171,000","$1,943,843,000","$224,524,000","$529,690,000",2%,15%
South Shore Bank,511,"$2,165,776,000","$1,923,844,000",216,"$5,260,000","$1,981,477,000","$184,299,000","$78,099,000",1%,12%
Avidbank,512,"$2,165,228,000","$1,620,280,000",142,"$6,638,000","$1,999,387,000","$165,841,000","$125,000,000",1%,17%
U. S. Century Bank,513,"$2,163,821,000","$1,840,054,000",196,"$5,809,000","$1,981,298,000","$182,523,000","$81,791,000",1%,13%
Think Mutual Bank,514,"$2,161,069,000","$1,869,218,000",259,"$2,784,000","$1,882,384,000","$278,685,000","$932,000",1%,4%
First Bank Chicago,515,"$2,156,765,000","$1,673,560,000",147,"$2,042,000","$1,966,021,000","$190,744,000","$3,021,000",0%,4%
Sunrise Banks,516,"$2,155,252,000","$1,937,065,000",320,"$3,106,000","$1,949,141,000","$206,111,000","$1,169,000",1%,6%
Guaranty Bank,517,"$2,150,260,000","$1,648,631,000",199,"$5,386,000","$1,815,377,000","$334,883,000","$246,933,000",1%,7%
First Fed Bank,518,"$2,148,672,000","$1,603,173,000",284,"$4,085,000","$1,971,228,000","$177,444,000","$54,609,000",1%,9%
Country Club Bank,519,"$2,141,157,000","$1,740,191,000",434,"$5,320,000","$1,983,110,000","$158,047,000","$7,146,000",1%,14%
FirstCapital Bank of Texas,520,"$2,139,654,000","$1,719,519,000",235,"$8,570,000","$1,860,766,000","$278,888,000",$0,2%,12%
FCB Banks,521,"$2,137,913,000","$1,756,179,000",206,"$4,023,000","$1,977,656,000","$160,257,000","$5,214,000",1%,10%
Southern States Bank,522,"$2,137,421,000","$1,806,892,000",188,"$8,633,000","$1,880,409,000","$257,012,000","$151,531,000",2%,14%
Evans Bank,523,"$2,134,512,000","$1,857,113,000",302,"$6,184,000","$1,961,088,000","$173,424,000",$0,1%,15%
First United Bank,524,"$2,133,030,000","$1,854,990,000",242,"$6,824,000","$1,964,457,000","$168,573,000","$7,440,000",1%,17%
State Bank of Texas,525,"$2,132,910,000","$1,840,870,000",89,"$27,860,000","$1,855,856,000","$277,054,000",$0,5%,40%
TexasBank,526,"$2,129,542,000","$1,688,039,000",281,"$9,031,000","$1,930,645,000","$198,897,000","$10,459,000",2%,19%
"Cornerstone Capital Bank, SSB",527,"$2,121,348,000","$858,642,000","1,701","$-7,625,000","$1,754,196,000","$367,152,000","$2,696,154,000",-1%,-9%
Maspeth Federal Savings and Loan Association,528,"$2,118,557,000","$1,371,837,000",192,"$5,815,000","$1,409,019,000","$709,538,000",$0,1%,3%
Montecito Bank & Trust,529,"$2,111,553,000","$1,917,490,000",277,"$4,827,000","$1,971,811,000","$139,742,000",$0,1%,15%
Dubuque Bank and Trust Company,530,"$2,111,180,000","$1,934,095,000",83,"$5,389,000","$1,987,366,000","$123,814,000","$230,770,000",1%,18%
"WaterStone Bank, SSB",531,"$2,109,468,000","$1,253,413,000",753,"$2,065,000","$1,792,374,000","$317,094,000","$734,278,000",0%,3%
First County Bank,532,"$2,108,687,000","$1,661,327,000",212,"$3,379,000","$1,969,879,000","$138,808,000",$0,1%,10%
Texas First Bank,533,"$2,105,524,000","$1,833,668,000",253,"$7,028,000","$1,926,529,000","$178,995,000",$0,1%,16%
Wayne Bank,534,"$2,105,522,000","$1,760,251,000",271,"$5,862,000","$1,932,312,000","$173,210,000","$10,653,000",1%,14%
Oakstar Bank,535,"$2,102,203,000","$1,801,378,000",391,"$4,120,000","$1,902,878,000","$199,325,000","$452,398,000",1%,8%
Blue Foundry Bank,536,"$2,098,370,000","$1,341,328,000",183,"$-274,000","$1,822,271,000","$276,099,000","$209,000,000",0%,0%
"Westfield Bank, FSB",537,"$2,094,259,000","$1,703,425,000",191,"$4,023,000","$1,893,544,000","$200,715,000","$140,358,000",1%,8%
Ion Bank,538,"$2,083,933,000","$1,750,278,000",306,"$5,043,000","$1,903,278,000","$180,655,000","$198,216,000",1%,11%
Marquette Bank,539,"$2,077,769,000","$1,714,506,000",304,"$3,369,000","$1,914,513,000","$163,256,000",$0,1%,8%
Texas Partners Bank,540,"$2,077,122,000","$1,874,321,000",234,"$4,500,000","$1,894,543,000","$182,579,000",$0,1%,10%
Hanover Community Bank,541,"$2,071,369,000","$1,708,260,000",169,"$3,542,000","$1,866,992,000","$204,377,000",$0,1%,7%
Gateway First Bank,542,"$2,066,690,000","$1,021,446,000",984,"$-346,000","$1,773,809,000","$292,881,000","$1,857,599,000",0%,0%
Luana Savings Bank,543,"$2,063,244,000","$1,754,976,000",98,"$7,311,000","$1,880,271,000","$182,973,000","$9,791,000",1%,16%
Medallion Bank,544,"$2,062,413,000","$1,699,165,000",125,"$21,426,000","$1,748,658,000","$313,755,000",$0,4%,28%
California Bank of Commerce,545,"$2,059,646,000","$1,726,422,000",166,"$5,979,000","$1,832,970,000","$226,676,000",$0,1%,11%
MainStreet Bank,546,"$2,053,115,000","$1,637,250,000",170,"$8,759,000","$1,782,552,000","$270,563,000","$488,849,000",2%,13%
Cashmere Valley Bank,547,"$2,049,817,000","$1,841,098,000",297,"$7,717,000","$1,871,647,000","$178,170,000","$29,636,000",1%,18%
NEXTIER BANK,548,"$2,048,904,000","$1,776,356,000",271,"$4,645,000","$1,878,109,000","$170,795,000","$230,209,000",1%,11%
First Western Bank & Trust,549,"$2,038,914,000","$1,785,619,000",333,"$4,205,000","$1,821,756,000","$217,158,000",$0,1%,8%
Somerset Trust Company,550,"$2,037,105,000","$1,731,521,000",432,"$7,643,000","$1,916,255,000","$120,850,000","$1,683,000",2%,27%
Isabella Bank,551,"$2,035,352,000","$1,824,202,000",354,"$5,952,000","$1,872,361,000","$162,991,000","$3,021,000",1%,15%
Texas Community Bank,552,"$2,029,149,000","$1,803,728,000",223,"$11,980,000","$1,816,970,000","$212,179,000",$0,2%,23%
Colorado Federal Savings Bank,553,"$2,020,637,000","$1,086,260,000",69,"$2,840,000","$1,769,492,000","$251,145,000","$42,461,000",1%,5%
Yakima Federal Savings and Loan Association,554,"$2,016,177,000","$1,494,491,000",127,"$4,952,000","$1,515,825,000","$500,352,000",$0,1%,4%
Central Bank,555,"$2,014,180,000","$1,645,722,000",287,"$7,339,000","$1,810,417,000","$211,312,000","$28,745,000",2%,29%
PCSB Bank,556,"$2,004,733,000","$1,686,117,000",190,"$528,000","$1,738,367,000","$266,366,000","$294,094,000",1%,10%
Community National Bank & Trust,557,"$1,986,063,000","$1,706,839,000",474,"$3,296,000","$1,842,153,000","$143,910,000",$0,1%,9%
Opportunity Bank of Montana,558,"$1,980,533,000","$1,619,658,000",427,"$3,865,000","$1,772,794,000","$207,739,000","$30,962,000",1%,8%
ESSA Bank & Trust,559,"$1,980,138,000","$1,442,234,000",242,"$4,634,000","$1,767,181,000","$212,957,000","$412,957,000",1%,9%
Whitaker Bank,560,"$1,978,611,000","$1,684,049,000",328,"$5,562,000","$1,786,009,000","$192,602,000",$0,1%,12%
INB,561,"$1,975,271,000","$1,783,270,000",293,"$4,150,000","$1,796,465,000","$178,806,000","$18,443,000",1%,10%
Tri City National Bank,562,"$1,974,808,000","$1,768,526,000",369,"$3,799,000","$1,834,970,000","$139,838,000","$26,296,000",1%,11%
Five Points Bank,563,"$1,971,205,000","$1,723,352,000",172,"$7,114,000","$1,859,260,000","$111,945,000",$0,1%,26%
Falcon International Bank,564,"$1,968,752,000","$1,770,234,000",367,"$9,231,000","$1,779,377,000","$189,375,000",$0,2%,20%
CalPrivate Bank,565,"$1,966,357,000","$1,587,039,000",186,"$9,263,000","$1,798,583,000","$167,774,000",$0,2%,23%
Parke Bank,566,"$1,963,842,000","$1,466,913,000",109,"$11,939,000","$1,648,644,000","$315,198,000",$0,2%,15%
Community National Bank,567,"$1,963,414,000","$1,742,002,000",231,"$13,895,000","$1,770,214,000","$193,200,000","$37,230,000",3%,38%
First State Bank of Uvalde,568,"$1,954,484,000","$1,827,371,000",126,"$6,426,000","$1,833,842,000","$120,642,000",$0,1%,23%
Oak Valley Community Bank,569,"$1,940,515,000","$1,769,304,000",206,"$9,373,000","$1,799,333,000","$141,182,000",$0,2%,28%
Guaranty Bank and Trust Company,570,"$1,940,240,000","$1,591,716,000",306,"$4,113,000","$1,754,759,000","$185,481,000","$9,349,000",1%,13%
Queensborough National Bank & Trust Company,571,"$1,932,058,000","$1,784,716,000",360,"$4,855,000","$1,789,824,000","$142,234,000",$0,1%,14%
Fairfield County Bank,572,"$1,931,986,000","$1,613,172,000",260,"$1,823,000","$1,732,718,000","$199,268,000","$75,922,000",0%,4%
Cf Bank,573,"$1,923,370,000","$1,609,956,000",113,"$4,917,000","$1,743,301,000","$180,069,000","$83,404,000",1%,11%
LCNB National Bank,574,"$1,921,431,000","$1,603,922,000",308,"$4,828,000","$1,705,024,000","$216,407,000",$0,1%,9%
Planters Bank & Trust Company,575,"$1,916,526,000","$1,624,775,000",165,"$4,362,000","$1,747,994,000","$168,532,000",$0,1%,10%
First United Bank & Trust,576,"$1,916,222,000","$1,605,098,000",317,"$4,485,000","$1,760,833,000","$155,389,000",$0,1%,12%
The Village Bank,577,"$1,915,433,000","$1,760,723,000",135,"$982,000","$1,766,170,000","$149,263,000",$0,1%,9%
First Farmers and Merchants Bank,578,"$1,911,379,000","$1,776,990,000",244,"$4,497,000","$1,801,166,000","$110,213,000",$0,1%,17%
Susser Bank,579,"$1,905,925,000","$1,692,737,000",228,"$3,797,000","$1,703,619,000","$202,306,000","$83,981,000",1%,8%
Bank Iowa,580,"$1,903,552,000","$1,568,405,000",262,"$5,669,000","$1,769,031,000","$134,521,000","$180,625,000",1%,18%
First Northern Bank of Dixon,581,"$1,903,284,000","$1,752,213,000",200,"$5,537,000","$1,768,644,000","$134,640,000","$415,000",1%,17%
Sutton Bank,582,"$1,896,370,000","$1,737,215,000",172,"$20,095,000","$1,756,967,000","$139,403,000",$0,4%,60%
The Piedmont Bank,583,"$1,892,976,000","$1,654,395,000",192,"$8,155,000","$1,694,569,000","$198,407,000",$0,2%,17%
Western State Bank,584,"$1,892,205,000","$1,611,243,000",270,"$7,649,000","$1,674,079,000","$218,126,000","$3,942,000",2%,14%
Hawthorn Bank,585,"$1,887,206,000","$1,610,820,000",315,"$3,845,000","$1,716,972,000","$170,234,000","$11,834,000",1%,9%
The Ephrata National Bank,586,"$1,886,501,000","$1,654,255,000",297,"$3,041,000","$1,747,748,000","$138,753,000",$0,1%,9%
Silvergate Bank,587,"$1,885,858,000","$1,504,149,000",327,"$-537,875,000","$1,653,666,000","$232,192,000",$0,-33%,-535%
State Bank of the Lakes,588,"$1,880,960,000","$1,574,444,000",84,"$7,321,000","$1,668,161,000","$212,799,000","$130,729,000",2%,14%
Shinhan Bank America,589,"$1,878,837,000","$1,610,140,000",263,"$692,000","$1,662,087,000","$216,750,000",$0,0%,1%
